location_id,name,latitude,longitude
2812561,CHP,43.29161,76.80437
2812563,School 137,43.31676,76.91084
2812565,Kokzhiyek-63,43.35813,76.9229
2812576,EkoPost,43.24966,76.8056
2812620,Alatau,43.17658,76.89771
2812632,Elaman 105 St.,43.36861,76.94705
2812635,Atyrau 54,43.29678,76.99159
2812649,Shamiyeva St.,43.28323,76.92753
2812651,Kokkainar Micro,43.29076,76.84123
2812676,Suiynbay-55,43.37664,76.99055
2812687,KBTU,43.25348,76.94537
2812689,Iliyski trakt,43.34158,76.98193
2812690,School 187,43.18579,76.82848
2812691,169 School,43.29713,76.8611
2812716,Ritz Palace,43.22833,76.96028
2812717,Mamyr-3,43.21431,76.8555
2812718,Gymnasium 39,43.34819,76.8433
2812726,Hospital-7,43.23396,76.80013
2812749,Ryskulova 81,43.27865,76.90347
2812751,School 77,43.21846,76.94964
2812753,School 190,43.15476,76.8992
2812769,Nicolas International chain of wineries,43.19365,76.90963
2812775,School 192,43.17203,76.85234
2812784,Respublika 4,43.2368,76.94481
2812792,Kotelnikova St.,43.3104,76.94217
2812809,AsiaFood,43.24283,76.82872
2812826,Zhetysu 47,43.29171,76.9898
2812831,"Road, Almaty Industrial Zone",43.31652,76.80429
2812833,DIS-7,43.20533,76.77692
