iter	R2	RMSE
0	0.02443610534	40.99181668
1	0.04844139902	40.48434116
2	0.07232215297	39.97310638
3	0.09380246633	39.50760877
4	0.116856673	39.00182258
5	0.1372536668	38.54880038
6	0.1527440064	38.20116709
7	0.1735378156	37.72947828
8	0.1912491738	37.3230112
9	0.2076184499	36.94336782
10	0.2245751079	36.54594326
11	0.2427108168	36.11604482
12	0.2616164526	35.66237908
13	0.2770508407	35.28768638
14	0.2926985777	34.90370844
15	0.3085401096	34.51062328
16	0.323193951	34.14297989
17	0.3376885975	33.77539389
18	0.3533108579	33.37467852
19	0.3661384044	33.04201517
20	0.3790701688	32.70322399
21	0.3926096274	32.34470976
22	0.4062004288	31.98079432
23	0.4176364856	31.67133614
24	0.4288460988	31.36504249
25	0.4407853268	31.0354885
26	0.4514538604	30.73801994
27	0.4616405225	30.45127546
28	0.4722120643	30.1508136
29	0.4817835934	29.87616751
30	0.4915748464	29.59257935
31	0.5009951341	29.31714647
32	0.5110403274	29.02056259
33	0.5203521771	28.74289744
34	0.5290139587	28.48218641
35	0.5370618369	28.23779614
36	0.5459531144	27.96531123
37	0.5541140661	27.71285009
38	0.5621024727	27.46347908
39	0.5694963764	27.23063144
40	0.5771170002	26.98854178
41	0.5844817745	26.75249831
42	0.591692621	26.51935279
43	0.5989460664	26.2827435
44	0.6058814487	26.05450013
45	0.6119800744	25.85212937
46	0.616794051	25.69126139
47	0.6228136944	25.48867529
48	0.6289740243	25.27967373
49	0.633801113	25.11468969
50	0.6394748099	24.91937317
51	0.6451213616	24.72345922
52	0.6499472389	24.55478073
53	0.6553747193	24.36367923
54	0.6608265445	24.17019947
55	0.6659567717	23.98670768
56	0.6703455772	23.82861278
57	0.6747258678	23.66977174
58	0.6792977015	23.50283993
59	0.6830701386	23.36419848
60	0.6868238431	23.22542403
61	0.6914523851	23.05315675
62	0.6952071974	22.91245685
63	0.69915951	22.76341679
64	0.7028427647	22.62363894
65	0.7062609949	22.49314155
66	0.7098823353	22.354059
67	0.7133150926	22.22141558
68	0.717001436	22.07808609
69	0.7202063699	21.95271393
70	0.7231551868	21.83672486
71	0.7260117665	21.72377333
72	0.7293615722	21.59056649
73	0.7319469143	21.48719435
74	0.7348148134	21.37193953
75	0.7376138763	21.25884857
76	0.7405214696	21.14073203
77	0.7434079259	21.02281774
78	0.7455810119	20.93360702
79	0.7481673032	20.82693514
80	0.7506032791	20.72596097
81	0.7526717418	20.63983286
82	0.7547271543	20.55389064
83	0.7567848253	20.46749253
84	0.7587372177	20.38517633
85	0.7608839857	20.29427953
86	0.7632260057	20.19464889
87	0.7654149943	20.10108181
88	0.7670792779	20.02965046
89	0.769247473	19.93620723
90	0.7713350218	19.84582391
91	0.7731694944	19.7660567
92	0.7748979605	19.69060324
93	0.7766939405	19.61189505
94	0.7784617966	19.53410965
95	0.78025377	19.4549457
96	0.7818048124	19.38616435
97	0.7834278091	19.31392993
98	0.7849585005	19.24555529
99	0.7865060051	19.1761818
100	0.788091554	19.10484154
101	0.7894502186	19.04349709
102	0.7908671648	18.97930999
103	0.7923971584	18.90975723
104	0.7937819395	18.84658448
105	0.7950646114	18.78788037
106	0.7964101105	18.72610308
107	0.7976533513	18.66883918
108	0.7989538732	18.6087483
109	0.8000786456	18.55662106
110	0.8012820174	18.50068852
111	0.8022353508	18.45625739
112	0.8034138294	18.40118484
113	0.8046928702	18.34122571
114	0.8057783483	18.29018626
115	0.8069440021	18.23521785
116	0.8082427972	18.1737751
117	0.8091925465	18.12871303
118	0.8103277343	18.07470519
119	0.8114086711	18.02312799
120	0.8125167483	17.97010212
121	0.8133236625	17.93138942
122	0.8140531047	17.89632147
123	0.8150092633	17.85024977
124	0.8157786337	17.8130918
125	0.8167466359	17.76623018
126	0.8177357498	17.7182185
127	0.8187000556	17.67128544
128	0.819694344	17.62276223
129	0.8205050764	17.5830978
130	0.8213730276	17.54053458
131	0.8222180573	17.49899593
132	0.8231804285	17.45156879
133	0.8237208203	17.42488084
134	0.824525345	17.38507246
135	0.8251384534	17.35467416
136	0.8260286137	17.31044445
137	0.8268498894	17.26953696
138	0.8276455465	17.2298129
139	0.8283061755	17.19676054
140	0.8289520691	17.16438388
141	0.8295242945	17.13564888
142	0.8301313568	17.10511174
143	0.8306295158	17.08001198
144	0.8312819393	17.04708371
145	0.8319094391	17.01535325
146	0.8324429824	16.98832721
147	0.8330404731	16.95801086
148	0.8336597374	16.92653244
149	0.8341006183	16.90408587
150	0.834865651	16.86506486
151	0.8353355956	16.8410502
152	0.8357707529	16.81878262
153	0.8361909532	16.7972524
154	0.8364893139	16.78194823
155	0.8370595394	16.75266007
156	0.8375528664	16.72728024
157	0.8381112797	16.6985054
158	0.8385753629	16.67455359
159	0.8390181151	16.65167058
160	0.8394032173	16.63174152
161	0.8399547536	16.60315782
162	0.8404154844	16.5792424
163	0.8407577825	16.56145217
164	0.8411498381	16.5410524
165	0.8416958464	16.51260003
166	0.8419903142	16.49723502
167	0.8424493392	16.47325499
168	0.8428737515	16.45105208
169	0.8431249949	16.43789428
170	0.843437502	16.42151334
171	0.8438710464	16.3987608
172	0.8442297185	16.37991368
173	0.8447015438	16.35508764
174	0.8449892086	16.33993307
175	0.8453115724	16.32293379
176	0.8456827277	16.30333962
177	0.8460072226	16.28618945
178	0.8463718514	16.26689655
179	0.8467910853	16.24468613
180	0.8472820563	16.2186365
181	0.8476093524	16.20124777
182	0.8479406774	16.18362596
183	0.8482958578	16.16471403
184	0.848548186	16.15126513
185	0.8488385758	16.13577369
186	0.8491636638	16.11841353
187	0.8496373591	16.09308403
188	0.8498765673	16.08027789
189	0.8502929241	16.05796364
190	0.8506830692	16.03702602
191	0.8510869157	16.01532425
192	0.8514277436	15.99698605
193	0.851683644	15.98320353
194	0.8519182253	15.97055879
195	0.8522171417	15.95443164
196	0.8526386383	15.9316633
197	0.8529049291	15.91726206
198	0.8533151899	15.89504925
199	0.8534773372	15.88626152
200	0.8537478722	15.87158879
201	0.8540178324	15.85693371
202	0.85430175	15.84150629
203	0.8545079354	15.83029324
204	0.8548085105	15.81393272
205	0.8550954058	15.798301
206	0.855366595	15.7835108
207	0.8556496153	15.76806056
208	0.8560686426	15.74515778
209	0.8562290528	15.73638142
210	0.8564493324	15.7243215
211	0.8566279953	15.71453322
212	0.8567635008	15.70710531
213	0.8570464258	15.69158507
214	0.8572964056	15.6778593
215	0.8576308355	15.65947777
216	0.8579215873	15.6434794
217	0.8582387377	15.6260098
218	0.8584352191	15.61517721
219	0.8585826241	15.6070454
220	0.8588975621	15.58965718
221	0.8590581633	15.58078267
222	0.8592811047	15.56845497
223	0.859510891	15.55573856
224	0.8597456599	15.54273566
225	0.8598662199	15.53605411
226	0.8601917536	15.51799833
227	0.8603354931	15.5100191
228	0.8605874048	15.49602514
229	0.860807499	15.48378833
230	0.861067489	15.46932091
231	0.8613015378	15.45628544
232	0.8614822878	15.44621094
233	0.861777165	15.4297612
234	0.8619712074	15.41892695
